t,x_R,Gly,PHB,N,x_T,mu_x_R,mu_p
111,0.2500000025454753,0.5041198657550421,0.779327742869005,-1.9119072157911534e-12,1.0293277454144802,-2.166517056341879e-11,0.13727689962350717
112,0.2500000025454709,0.5022206489740584,0.7799924687423494,-1.896823835756751e-12,1.0299924712878203,-2.1439728731775908e-11,0.13726680288503776
113,0.25000000254546684,0.5003826336817913,0.780635774094643,-1.8828228524817695e-12,1.0306357766401097,-2.122897256657332e-11,0.1372569599598233
114,0.2500000025454565,0.4986038414764738,0.7812583513665046,-1.8471770983228955e-12,1.031258353911961,-2.0777095514348335e-11,0.13724736644549165
115,0.25000000254544247,0.4968823565008673,0.7818608711079674,-1.7988616592769697e-12,1.0318608736534098,-2.0186439990052543e-11,0.1372380178910457
116,0.2500000025454297,0.4952163247768071,0.782443982211389,-1.7547665446611385e-12,1.0324439847568188,-1.964695266071067e-11,0.13722890981280447
117,0.25000000254541793,0.49360395373238763,0.7830083120769362,-1.7142023276647161e-12,1.033008314622354,-1.915046707714107e-11,0.13722003771093516
118,0.2500000025454067,0.4920435093374819,0.7835544676151537,-1.6754966366396974e-12,1.0335544701605603,-1.867794921802556e-11,0.13721139707224284
119,0.2500000025453952,0.49053331432622566,0.7840830358690938,-1.6357269305348504e-12,1.034083038414489,-1.8196632842870626e-11,0.13720298337807035
120,0.25000000254538274,0.48907174568061357,0.7845945848950585,-1.5928644835819095e-12,1.0345945874404412,-1.768395006373564e-11,0.1371947921073137
121,0.25000000254537036,0.4876572314243053,0.785089664884767,-1.5501863893084955e-12,1.0350896674301373,-1.7176298969092262e-11,0.1371868187346677
122,0.2500000025453582,0.4862882517883447,0.7855688077573536,-1.5081927890455196e-12,1.0355688103027119,-1.667908157551256e-11,0.1371790587527406
123,0.2500000025453465,0.4849633366149458,0.7860325280680437,-1.4677522246983759e-12,1.0360325306133902,-1.6201730204501462e-11,0.13717150767251854
124,0.25000000254533566,0.48368106377945375,0.7864813235604663,-1.4305336122497938e-12,1.036481326105802,-1.576243354873105e-11,0.13716416102881876
125,0.2500000025453265,0.4824400576049104,0.786915675721557,-1.3988553201476197e-12,1.0369156782668836,-1.5386404501913666e-11,0.1371570143850417
126,0.25000000254531834,0.4812389854246164,0.7873360509846601,-1.3707523352392689e-12,1.0373360535299785,-1.5051663466541387e-11,0.1371500633265296
127,0.2500000025453109,0.48007655821367695,0.7877429005084893,-1.3450179434422245e-12,1.0377429030538001,-1.4744708412515504e-11,0.13714330347669967
128,0.25000000254530397,0.4789515292483763,0.7881366606463447,-1.32116401290126e-12,1.0381366631916487,-1.446000161933144e-11,0.137136730501381
129,0.25000000254529736,0.4778626924421321,0.7885177535285305,-1.298408932911589e-12,1.038517756073828,-1.4188841641096146e-11,0.13713034011067354
